日期(年),初級能源密集度(公升油當量/千元),能源消費密集度(公升油當量/千元),工業部門能源密集度(公升油當量/千元),服務業部門能源密集度(公升油當量/千元),電力密集度(度/千元),能源生產力(元/公升油當量),國內能源消費彈性值,電力消費彈性值,能源進口值占名目GDP比例(%),平均每人能源消費量(公升油當量/人),平均每人用電量(度/人),平均每人負擔能源進口值(臺幣元/人),進口能源依存度(%),進口石油依存度(%),進口天然氣依存度(%),能源進口率(%),能源進口值占總進口值比例(%),能源供應種類集中度(%),進口原油來源集中度(%),進口天然氣來源集中度(%),發電能源種類集中度(%),備用容量率(%),平均負載(千瓩),尖峰負載(千瓩),負載率(%),線路損失率(%),再生能源供給占初級能源總供給比例(%),再生能源供給占總供給比例(%),再生能源發電占總發電量比例(%),再生能源裝置容量占總裝置容量比例(%),燃料燃燒二氧化碳排放量(百萬公噸),平均每人二氧化碳排放量(公噸CO2/人),二氧化碳排放密集度(公斤CO2/千元),電力排碳係數(公斤CO2e/度)
2003,9.796,6.778,8.363,0.704,18.750041,147.531751,1.280263,1.269871,4.74485,3211.866,8884.749,22972.778464,97.4582,99.8617,90.813,97.6946,11.5777,59.2317,39.994951376692562,72.5391,59.299,14.61,19841.3585,28593.7,69.39,5.03,1.8593,1.6288,2.9701,6.3091,229.841255,10.186746,21.497725,0
2004,9.589,6.62,7.847,0.7,18.355543,151.040649,0.642571,0.67629,6.45757,3342.885,9267.927,33065.791082,97.6383,99.8645,92.7709,97.9032,13.0046,59.5404,37.692099052694623,70.7451,58.8663,20.18,20633.55286,29034.3,71.07,4.93,1.8251,1.5082,3.0151,6.1002,239.92943,10.594391,20.982663,0
2005,9.181,6.383,7.326,0.705,18.128916,156.662708,0.297488,0.758294,7.85921,3384.035,9611.083,41618.926739,97.7463,99.9016,95.0643,98.0372,15.9242,59.8106,40.095633974839068,66.4843,58.7939,16.35,21651.02296,30942.9,69.97,4.76,1.8893,1.5602,3.3145,6.0457,247.956072,10.908878,20.576883,0.555
2006,8.911,6.116,7.087,0.692,17.729009,163.492537,0.234295,0.595667,9.43166,3415.708,9900.638,51955.510709,97.8273,99.9058,96.1089,98.0904,17.6351,59.0236,41.111595799587441,60.581,58.6095,16.05,22439.18318,32060.4,69.99,4.85,1.8909,1.5709,3.2878,6.0211,255.33009,11.18718,20.032811,0.562
2007,8.749,6.068,6.464,0.662,17.144222,164.78751,0.877425,0.485526,10.73416,3606.171,10187.989,62594.438555,97.8391,99.8982,96.6979,98.1334,19.5921,58.5754,42.389545316571983,55.589,58.9489,16.2,23042.91557,32790.8,70.27,4.75,1.8955,1.5697,3.4242,6.1483,259.21461,11.310799,19.033672,0.558
2008,8.348,5.747,6.05,0.658,16.731727,173.985566,-5.668752,-2.035039,14.62218,3430.805,9987.345,83387.205502,97.7299,99.8324,97.3955,98.0422,25.09,57.4967,43.552717078131245,50.2042,58.2238,21.1,22796.09706,31320.2,72.78,4.58,2.0134,1.6666,3.4657,6.267,247.536501,10.763535,18.032072,0.555
2009,8.291,5.773,5.823,0.653,16.341815,173.219378,0.730192,2.42145,9.58045,3378.542,9563.703,53632.020459,97.7533,99.8541,97.383,98.1001,21.149,57.8835,42.804276677231115,48.1718,59.4044,28.1,22101.05567,31010.7,71.27,4.86,1.9514,1.6157,3.3948,6.3229,235.867615,10.220276,17.463722,0.543
2010,8.027,5.567,5.381,0.631,15.944169,179.627209,0.616139,0.738165,11.12695,3582.109,10259.187,67606.948419,97.8529,99.8688,98.2197,98.1266,19.328,56.3068,43.30488931046505,41.3387,57.9839,23.4,23674.05622,33022.6,71.69,4.66,1.9426,1.6391,3.497,6.5456,251.708068,10.877173,16.904604,0.534
2011,7.736,5.251,5.189,0.598,15.682233,190.416202,-0.598856,0.536418,12.86974,3495.358,10437.669,79138.881096,97.7624,99.8659,98.1949,98.0147,21.7718,55.3433,45.558533762305565,46.5195,58.2016,20.6,24319.8809,33786.9,71.98,4.76,1.9898,1.726,3.5639,6.9721,257.096516,11.084845,16.654592,0.534
2012,7.506,5.144,4.904,0.58,15.279657,194.395639,0.058023,-0.181273,13.47465,3488.307,10361.316,84991.295332,97.5201,99.8763,97.7004,97.8534,24.1035,55.7786,43.04989632539057,54.5182,58.1063,22.7,24101.57148,33081.4,72.86,4.42,2.1655,1.825,4.2587,7.4288,253.20138,10.880851,16.045807,0.529
2013,7.458,5.164,4.86,0.576,15.157439,193.615851,1.16617,0.669914,12.31506,3577.917,10500.186,80558.037324,97.5866,99.8843,98.0136,97.9159,22.8835,55.385,45.547917996905284,56.4917,57.8314,17.5,24364.00696,33957.4,71.75,4.25,2.1409,1.8083,4.3029,7.8195,254.109147,10.885103,15.713082,0.519
